,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
0,619000.0,2.0,0.0,2.0,3395.0,2092.0,1980.0,7.0,28.0,2017.0,40.584,-74.1503516,3.6187544627325017,2.779074831614446,218.07327967855926,5,NEW SPRINGVILLE,02 TWO FAMILY DWELLINGS                    ,1,2390,310,B9, ,10314,1,B9,1
1,685000.0,2.0,0.0,2.0,2000.0,2128.0,1901.0,12.0,49.0,2016.0,40.6438124,-73.9505188,1.550696685682296,3.936154260249449,218.09833596862111,3,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,5172,47,B1, ,11226,1,B1,0
2,760000.0,3.0,0.0,3.0,4685.0,3600.0,2010.0,8.0,31.0,2017.0,40.7085804,-73.7862329,3.458101317412565,2.858470958746444,217.94743575616846,4,JAMAICA,03 THREE FAMILY DWELLINGS                  ,1,9809,74,C0, ,11432,1,C0,1
3,3315000.0,5.0,0.0,5.0,2500.0,5000.0,1900.0,12.0,51.0,2016.0,40.6873228,-73.9948252,1.6223009889841766,4.025415302133657,217.89915603689468,3,COBBLE HILL,07 RENTALS - WALKUP APARTMENTS             ,2A,302,57,C2, ,11201,2,C2,0
4,400000.0,2.0,0.0,2.0,3042.0,1768.0,1940.0,2.0,8.0,2017.0,40.691538,-73.85046899999998,4.050319270648945,1.1010336025462981,218.0621884510888,4,WOODHAVEN,02 TWO FAMILY DWELLINGS                    ,1,8934,51,B1, ,11421,1,B1,1
5,605000.0,3.0,0.0,3.0,2771.0,2950.0,1973.0,1.0,2.0,2017.0,40.8890982,-73.8381041,5.130797796618191,2.958335512267958,218.0020923793039,2,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4959,1,C0, ,10466,1,C0,1
6,579000.0,1.0,0.0,1.0,2850.0,1463.0,1925.0,5.0,21.0,2017.0,40.6264276,-74.1233307,3.5692156027386512,1.9125487279374618,218.1380056416359,5,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS                    ,1,316,15,A1, ,10310,1,A1,1
7,810000.0,1.0,0.0,1.0,7290.0,2418.0,1965.0,11.0,47.0,2016.0,40.5805977,-74.134112,2.2968576866704966,4.128433427187664,218.07435134935912,5,RICHMONDTOWN-LIGHTHS HILL,01 ONE FAMILY DWELLINGS                    ,1,2306,252,A1, ,10306,1,A1,0
8,350000.0,1.0,0.0,1.0,1208.0,700.0,1995.0,4.0,16.0,2017.0,40.613692,-74.080308,4.115342914859068,2.3993035411893615,218.16970344299193,5,CONCORD-FOX HILLS,01 ONE FAMILY DWELLINGS                    ,1,2925,339,A5, ,10304,1,A5,1
9,239000.0,1.0,0.0,1.0,1350.0,732.0,1930.0,3.0,13.0,2017.0,40.679947999999996,-73.789897,3.8162129194117798,1.2227896418576538,218.1487748910144,4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS                    ,1,12206,8,A9, ,11434,1,A9,1
10,334000.0,1.0,0.0,1.0,1735.0,846.0,1899.0,3.0,11.0,2017.0,40.5970929,-73.77569790000001,4.280617163600434,2.1824136345572818,218.1562904643968,4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15965,27,A6, ,11691,1,A6,1
11,477594.0,2.0,0.0,2.0,1871.0,2799.0,2005.0,6.0,25.0,2017.0,40.880164,-73.86075699999998,4.120235494243408,3.1286690402595063,218.05272102877151,2,WILLIAMSBRIDGE,02 TWO FAMILY DWELLINGS                    ,1,4674,55,B1, ,10467,1,B1,1
12,4950000.0,3.0,0.0,3.0,2160.0,5202.0,1901.0,5.0,21.0,2017.0,40.6932565,-73.9966157,3.367735486356803,1.478125804959323,217.97030882047713,3,BROOKLYN HEIGHTS,03 THREE FAMILY DWELLINGS                  ,1,261,22,C0, ,11201,1,C0,1
13,510000.0,1.0,0.0,1.0,2000.0,1316.0,1910.0,6.0,26.0,2017.0,40.688703100000005,-73.8560935,2.970629891427486,1.3338744684754649,218.13005736703147,4,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,8968,24,A5, ,11421,1,A5,1
14,200000.0,1.0,1.0,2.0,3375.0,2700.0,1931.0,10.0,40.0,2016.0,40.636222700000005,-74.1349378,1.8956819552123463,3.563271463293053,218.10077164604516,5,PORT RICHMOND,01 ONE FAMILY DWELLINGS                    ,1,1080,33,S1, ,10302,1,S1,0
15,750000.0,2.0,0.0,2.0,4000.0,3696.0,1920.0,4.0,14.0,2017.0,40.65318990000001,-73.9365562,3.5413543873089828,0.8724722111382976,218.0154403988826,3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS                    ,1,4880,9,B2, ,11203,1,B2,1
16,620000.0,2.0,0.0,2.0,2400.0,2412.0,1960.0,5.0,22.0,2017.0,40.77944829999999,-73.9514145,3.2382068768475505,1.2630508115159755,218.05262509250937,3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,8079,20,B1, ,11236,1,B1,1
17,275000.0,1.0,0.0,1.0,3069.0,1845.0,1920.0,9.0,35.0,2016.0,40.6955384,-73.81191249999998,1.346185291571645,2.9340272481712835,218.11127232236518,4,JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,10003,93,A1, ,11435,1,A1,0
