,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,deucli_k4,deucli_k5,deucli_k6,deucli_k7,deucli_k8,deucli_k9,deucli_k10,SALE PRICE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE
0,1,0,1,2625,2520,1925,7,27,2017,0.5193380894453554,0.6779860659383701,0.08674578737156872,0.13673485140285646,0.32174221150815224,0.11294794874929046,0.14294420344699918,0.17810723005893261,0.27059360475030303,0.02157826525169391,0.05819785237620382,0.07435049802798037,880000.0,4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,3058,55,A1, ,11379,1,A1
1,4,0,4,3000,3198,1920,2,8,2017,0.3818598328710294,0.6146876078234129,0.08370665263676413,0.10588934138760799,0.26508522543614876,0.15408781212418168,0.20525199442751604,0.12246766244241641,0.2219797737273123,0.048674448376691715,0.12467238263916314,0.014642555013273193,633603.0,3,FLATBUSH-NORTH,07 RENTALS - WALKUP APARTMENTS             ,2A,4694,76,C3,4,11212,2,C3
2,2,0,2,2090,1993,1945,10,40,2016,0.2415183690784346,0.4490561965943698,0.1305918301552967,0.16845728678934213,0.15913387323811143,0.26024876406050995,0.293713286356095,0.03372019562448682,0.1290681639944604,0.14983289295690655,0.2255575320139319,0.10936374129804884,165000.0,3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6468,38,B9, ,11214,1,B9
3,1,0,1,1700,1600,1950,9,39,2016,0.5801310610404329,0.864603517982772,0.19012910666962302,0.1675022083938373,0.42486141643571984,0.03794852403962279,0.14597280587780145,0.2812094161043354,0.37635848996462884,0.12706442911206053,0.08376855056424955,0.16099065886335226,785000.0,4,FRESH MEADOWS,01 ONE FAMILY DWELLINGS                    ,1,7126,15,A5, ,11365,1,A5
4,1,0,1,4000,1125,1950,8,34,2017,0.3906029660163455,0.7412635580747917,0.13645009443964087,0.07749250328291388,0.3318844380719564,0.08772575123631622,0.1961582438314634,0.19124956171047794,0.29175645755636026,0.06821863334236242,0.10662659614754064,0.06427564594359168,650000.0,4,HOWARD BEACH,01 ONE FAMILY DWELLINGS                    ,1,13968,87,A2, ,11414,1,A2
5,2,0,2,1900,3800,1899,1,4,2017,0.5780463072011912,0.4523841842056413,0.04133370461582952,0.2268044085626962,0.24021187429320215,0.23987120914697352,0.1835234728645979,0.12002464794477107,0.17470283582943585,0.1119169662669799,0.15178416872137235,0.13509584483202192,3300000.0,3,PARK SLOPE,02 TWO FAMILY DWELLINGS                    ,1,1061,40,B3, ,11217,1,B3
6,2,0,2,2533,2519,1960,4,14,2017,0.3558079159628704,0.656096680633766,0.10685886927121419,0.08235367105994418,0.2826483557301906,0.13638471866034352,0.21145824024923712,0.14224363321299777,0.24322654539199495,0.056944414216840086,0.12581417287595625,0.015216938362437591,460000.0,3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,8232,53,B1, ,11236,1,B1
7,3,0,3,4958,2180,1930,2,5,2017,0.8026094047822028,0.7082817241914938,0.1489141239948784,0.248604325225992,0.40523381368121236,0.16032910089136268,0.02508179294783753,0.26919091025165953,0.34287068886792743,0.13274603141678812,0.06451149295256443,0.19130085030852417,495000.0,2,SOUNDVIEW,03 THREE FAMILY DWELLINGS                  ,1,3767,8,C0, ,10472,1,C0
8,1,0,1,3904,1385,1920,10,42,2016,0.8522376842137902,0.6121648222328986,0.13739839891828876,0.2788891440522331,0.38381549458139336,0.21070277401978754,0.05251377073239989,0.25757030447043205,0.3172387784561493,0.14951671855330662,0.10407263189450636,0.2068719539167808,379000.0,2,HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,2879,103,A1, ,10453,1,A1
9,2,0,2,6000,1400,1899,9,37,2016,0.4035739605770914,0.6734904902116909,0.10144069821237435,0.09338928558855683,0.29858115508813854,0.12035670374372669,0.19075585933845,0.15620483551393008,0.2555716784968438,0.04021105156512205,0.10420723239891921,0.03270092306055334,593000.0,3,EAST NEW YORK,02 TWO FAMILY DWELLINGS                    ,1,4313,70,B2, ,11208,1,B2
10,1,0,1,560,1510,2000,2,7,2017,0.15407493104090975,0.1259832998751449,0.27153722103573213,0.3470762915486553,0.02755259298166545,0.4403018343878785,0.4347818364306582,0.16397152447525934,0.07711225628662657,0.31912011909759846,0.38753707277431765,0.28991349059461,350000.0,5,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,5742,106,A5, ,10312,1,A5
11,1,0,1,3333,2353,1901,9,37,2016,0.3862501646495531,0.5450082625837069,0.06563366372214262,0.1372430593725063,0.2308613950898758,0.1908694698967996,0.216386004469757,0.0871140625136184,0.18443607892144975,0.07042616681808737,0.1456147719119235,0.04846658818568146,1100000.0,3,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY DWELLINGS                    ,1,5039,76,A1, ,11225,1,A1
12,1,0,1,4266,2160,1910,4,17,2017,0.31079805636052527,0.39556294827204397,0.11847426926193497,0.20223306249404313,0.1433689292212372,0.2787056988131705,0.2858417417910467,0.00770771273593411,0.09797004064208954,0.1568543218985601,0.2278351471353837,0.13012753224289778,2200000.0,3,BAY RIDGE,01 ONE FAMILY DWELLINGS                    ,1,6004,38,A3, ,11209,1,A3
13,2,0,2,2003,1392,1925,6,25,2017,0.2982021237854866,0.4867700156865453,0.10264706099002704,0.15197381280827438,0.1865001791415479,0.23219883697499724,0.26320760676303123,0.04634639242861797,0.14817586958217277,0.11859259920991745,0.19419810381245856,0.08161903216190441,1125000.0,3,BOROUGH PARK,02 TWO FAMILY DWELLINGS                    ,1,5505,25,B3, ,11204,1,B3
14,3,1,4,2000,2720,1931,3,13,2017,0.3916758515287313,0.5640016317315144,0.06633724669669094,0.1299227569623954,0.24125893475975801,0.18012653846495516,0.21017838807914688,0.0975910768922343,0.19518093156006866,0.06101156933175548,0.13704030178572638,0.03942519180569192,865000.0,3,FLATBUSH-NORTH,14 RENTALS - 4-10 UNIT                     ,2A,4799,5,S3, ,11225,2,S3
15,32,0,32,10000,24000,1930,12,51,2016,0.37880824719903217,0.6143859507700711,0.08460630756880307,0.10513770568565167,0.2644444052548461,0.15462014069147553,0.20651435677999855,0.1219445949690954,0.22161047267309447,0.04991780532703503,0.1258613768903533,0.01368779327070466,5497920.0,3,FLATBUSH-NORTH,07 RENTALS - WALKUP APARTMENTS             ,2,4717,46,C1, ,11212,2,C1
16,1,0,1,1870,2020,1986,6,24,2017,0.11698471471076743,0.07424541003220497,0.3037193243390734,0.3767994913954281,0.055103943017077016,0.47233263360638883,0.46632408749517906,0.1962147425867932,0.1081930946561803,0.35156561971332395,0.4199452529902513,0.32176323844209026,439800.0,5,ROSSVILLE,01 ONE FAMILY DWELLINGS                    ,1,7037,100,A5, ,10309,1,A5
17,1,0,1,6000,832,1930,3,13,2017,0.2502573859850372,0.21989624370996808,0.2061521090208108,0.29514583664428495,0.05502013436976335,0.37905019809101304,0.3696648295329988,0.10300181891307104,0.01771911946447574,0.2553328670734296,0.3225179855601209,0.23006847794684585,350000.0,5,WILLOWBROOK,01 ONE FAMILY DWELLINGS                    ,1,822,24,A2, ,10314,1,A2
18,2,0,2,1880,2100,1991,6,24,2017,0.8001277971052616,0.6599607466274335,0.13101048809751858,0.2516191354920738,0.38539845585783344,0.17682677672914068,0.036742931326165275,0.2524274057648426,0.32151135719937646,0.12722022786605747,0.07173300057957432,0.18595025093624354,235000.0,2,MORRISANIA/LONGWOOD,02 TWO FAMILY DWELLINGS                    ,1,2993,115,B2, ,10459,1,B2
19,1,0,1,5000,1823,1950,7,29,2017,0.5573333940276939,0.9023041429677221,0.2104340883623586,0.16806632094745577,0.43989866407524864,0.029849610740450692,0.16636792956253743,0.29671372525100453,0.3934964465950098,0.145164280066333,0.10658807954977818,0.17352222311221618,999900.0,4,HOLLIS HILLS,01 ONE FAMILY DWELLINGS                    ,1,7817,21,A1, ,11427,1,A1
20,1,0,1,3000,1606,1925,5,19,2017,0.5549597770838943,0.9482736775935052,0.235833996363171,0.18119613059352632,0.46296450439366027,0.04565048521972926,0.18460347148184977,0.3201966574617131,0.4177377167619194,0.17007908151826054,0.13100538712109117,0.19567879388605366,580000.0,4,BELLEROSE,01 ONE FAMILY DWELLINGS                    ,1,7985,29,A1, ,11426,1,A1
21,3,0,3,2000,3000,1901,9,38,2016,0.40605581038570904,0.6509139268862043,0.09076252335613509,0.1006776894699581,0.28743937537012354,0.132050800439449,0.1913502800149488,0.14460521674747678,0.24348552171894777,0.03600397322196669,0.10713193911273321,0.025532162523595404,375000.0,3,EAST NEW YORK,03 THREE FAMILY DWELLINGS                  ,1,3789,9,C0, ,11207,1,C0
22,1,0,1,4000,1714,1925,9,39,2016,0.6574030311013388,0.815373773693608,0.16907844259079413,0.19067408158154828,0.4161997689282555,0.07776268611368742,0.10414054227565574,0.27284114361840683,0.3626459258431255,0.11649377513709061,0.051944032234560594,0.16305810265057114,1080000.0,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,4892,27,A1, ,11358,1,A1
23,2,0,2,3000,1495,1905,1,3,2017,0.3415531391889317,0.5126617339984989,0.083026885644525,0.1442708357990884,0.20670616470648598,0.2129377035440631,0.2407496477741744,0.06362175274931396,0.1637118431686673,0.09598765776588823,0.17131349473385343,0.06437141201781704,865000.0,3,OCEAN PARKWAY-NORTH,02 TWO FAMILY DWELLINGS                    ,1,5377,74,B3, ,11218,1,B3
24,2,0,2,2000,1852,1935,5,21,2017,0.2676787609831166,0.5733322151478148,0.11685707474089513,0.10244992699773371,0.22832434697999235,0.19360184582221057,0.25682415476895887,0.0948965699478378,0.19633591588263977,0.10094370585805751,0.17705197596908434,0.04634743360100543,675000.0,3,MARINE PARK,02 TWO FAMILY DWELLINGS                    ,1,8475,18,B3, ,11234,1,B3
25,1,0,1,2000,1248,1930,10,40,2016,0.4884522555051092,0.8468522023224239,0.1810262375546058,0.12879354004404847,0.40066001149779124,0.018934012155668804,0.1731429214612145,0.2582181168081336,0.35662828038502276,0.11203022842400807,0.09539769444888989,0.1332094059477266,308636.0,4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,10240,7,A1, ,11433,1,A1
26,2,0,2,2450,2240,1899,11,48,2016,0.39247149625761324,0.6192361407200337,0.08191278987914945,0.10724108715793515,0.26912330157326264,0.15043975760250242,0.2003866320432134,0.1262043077395383,0.22521913460397044,0.043708530149863666,0.11962040256463798,0.0175922367366134,165100.0,3,BROWNSVILLE,02 TWO FAMILY DWELLINGS                    ,1,3586,55,B1, ,11212,1,B1
27,3,0,3,2523,3000,2006,3,13,2017,0.47047034564783985,0.7935790967748062,0.1530787580028915,0.11259232103097062,0.3705358294859188,0.04911288010734025,0.16920788378961502,0.22790095377883443,0.326238072061995,0.08305438958359157,0.08319159502837724,0.1035239519494912,890000.0,4,RICHMOND HILL,03 THREE FAMILY DWELLINGS                  ,1,9480,28,C0, ,11419,1,C0
28,1,1,2,2000,2000,1920,11,45,2016,0.4330827916040363,0.6949305529072092,0.10569244336237377,0.0999558984125782,0.3142205960991009,0.10569570431175832,0.17780044220456478,0.1712650883234691,0.26959929677621153,0.03728230664888415,0.08977429982072682,0.04966595282066273,483000.0,3,EAST NEW YORK,01 ONE FAMILY DWELLINGS                    ,1,4198,13,S1, ,11208,1,S1
29,2,0,2,1800,1230,1980,11,47,2016,0.21090662820971318,0.6035469013458794,0.14404277400583135,0.08230559289223456,0.2403108139523406,0.19220444754352875,0.27541948857462645,0.11625330637683566,0.21546482494413755,0.11859229945463465,0.1917959168025919,0.05984817511532354,423000.0,3,GERRITSEN BEACH,02 TWO FAMILY DWELLINGS                    ,1,8845,2176,B2, ,11229,1,B2
30,3,0,3,1260,1932,2006,4,15,2017,0.2697676310610575,0.47326864846976946,0.11571117529521935,0.15673425908017502,0.1754366513419712,0.24338907752994512,0.27707677078386234,0.04023627427400272,0.14102198583014788,0.13209226262835277,0.20793509755866527,0.0924618136354844,1125000.0,4,JACKSON HEIGHTS,03 THREE FAMILY DWELLINGS                  ,1,945,55,C0, ,11370,1,C0
31,1,0,1,2500,1504,1920,6,25,2017,0.5133206327191573,0.7341262690517283,0.1178964032508187,0.12832830661489875,0.3479179554043836,0.08180025673683473,0.1453359321338682,0.20416412317620902,0.29917200310586456,0.05036575218494359,0.055817599551035886,0.08858465905131357,1140000.0,4,FOREST HILLS,01 ONE FAMILY DWELLINGS                    ,1,3241,28,A1, ,11375,1,A1
32,1,0,1,2400,1408,1930,8,31,2017,0.565042866994176,0.6416156961437025,0.06677861564955292,0.16135065714967994,0.31474871702459806,0.13595093918972104,0.1283398507226287,0.17279499575332036,0.259399617928699,0.029878181742664222,0.055909669457148356,0.08834428576789843,640000.0,4,MASPETH,01 ONE FAMILY DWELLINGS                    ,1,2382,60,A1, ,11378,1,A1
33,2,1,3,2040,2122,1930,5,20,2017,0.6254738517146734,0.7056233827051983,0.10719102050577647,0.17615257004206694,0.35807147613785456,0.11183012621830205,0.09822544905083533,0.21598724696460664,0.3022125596718585,0.06442300010601695,0.012742584421565582,0.12075270089193751,850000.0,4,CORONA,02 TWO FAMILY DWELLINGS                    ,1,1719,8,S2, ,11368,1,S2
34,2,0,2,3399,2750,1940,2,6,2017,0.8049808425407718,0.7123241817439521,0.1511713023889516,0.2493712060373791,0.40753745780791945,0.15979990915917455,0.02428632051542568,0.27135912392688794,0.3452381749455517,0.13429900900438577,0.06526709400444791,0.19277830362571302,660000.0,2,CASTLE HILL/UNIONPORT,02 TWO FAMILY DWELLINGS                    ,1,3794,87,B1, ,10472,1,B1
35,1,0,1,1800,1064,1925,5,19,2017,0.2803151295501465,0.571672649501437,0.11157198179997833,0.10479638103670895,0.22876944189394596,0.191989742952206,0.2521005377681267,0.09350096565796087,0.19520775099527848,0.09653757936043834,0.1728849238179637,0.04324037079447365,642500.0,3,MARINE PARK,01 ONE FAMILY DWELLINGS                    ,1,7708,21,A9, ,11234,1,A9
